PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
3,5.051581951578117,2.021569388803965,0.7788765541961026,0.3667044572690642,96,58.75504715008395,32.056063342701904,distr,y/u,free,e/h,"380.29, 159.16","2864.51, 194.29",33.0302851437259,11.4124975,,,,
5,5.898850883435327,2.3907095145599837,0.5024672492227489,0.2278972359674148,1,37.61667128677432,59.980140211505216,free,e/s,foc,y/u,"2822.18, 195.74","2889.94, 193.49",55.062216843000506,12.21114747,,,,
5,6.191330491925801,3.0530942869317585,0.6143309221293293,0.3493352411820559,146,36.851844529302745,52.92241455568065,foc,e/s,foc,y/s,"2764.11, 194.83","2872.19, 201.04",67.8391180628643,11.96878263,,,,
1,7.410597386616437,4.191349731029329,0.5267363805773715,0.2037310815629241,389,84.0435701258943,95.64216784631137,free,e/s,free,e/h,"110.69, 488.87","519.32, 262.95",80.35451843502669,11.13679604,,,,
5,7.264373734852761,3.8402997640324648,0.7053433052626183,0.3423715767378352,176,73.94683335476819,63.03230519064277,free,y/s,foc,e/s,"2528.23, 188.63","2910.19, 194.33",87.84609252608738,11.41496035,,,,
0,6.420260715323147,2.182565767849655,0.6901494738991671,0.3812763956567573,294,36.84712749025051,40.14150539993472,free,y/h,free,e/u,"3313.08, 212.76","3635.85, 690.65",58.48008635253022,12.37029545,,,,
0,5.2146551135050645,4.013387265792679,0.5792210688167981,0.3893643794423757,333,42.65757667753817,31.405570286938666,foc,y/h,free,y/u,"2299.52, 471.19","1596.1, 315.44",84.74140346273535,12.22579698,,,,
0,6.0411816512692615,2.3668068455285667,0.6975475704006991,0.3423848094817909,433,47.55251394620285,59.29955497442868,foc,y/h,free,e/s,"1976.28, 407.9","2528.11, 229.78",79.98398707368156,12.14154882,,,,
3,5.060832115688177,2.0940773422911807,0.7752760763484845,0.3656126698767692,181,57.17581890950961,44.669116507959934,distr,e/h,distr,e/s,"446.4, 176.81","2878.22, 200.55",83.55013308934156,11.368311,,,,
0,5.01368884495036,2.1440821236757213,0.7969606150047375,0.3928525742727178,536,57.79013719816824,30.71985669093264,foc,y/u,foc,e/u,"3572.83, 278.65","1329.62, 782.03",77.5326454761452,11.31748321,,,,
1,5.00964066151309,3.928199519656817,0.6247200894043747,0.3977482276911058,269,93.69261627086668,74.1680842995268,distr,e/h,free,e/u,"761.49, 187.5","1500.49, 362.55",86.85860632242964,11.26011115,,,,
0,5.042145386360186,3.7126486866128094,0.7532417301799655,0.3817167759478991,181,39.588553289679375,36.4449009215468,distr,y/h,distr,e/s,"347.83, 173.9","77.26, 630.9",49.45260180160107,11.46465402,,,,
0,5.229201806200447,2.291084574036032,0.6685074724902743,0.3574385948421585,518,32.033290810031176,49.288415480377736,distr,e/h,free,y/s,"3669.82, 251.12","3541.71, 676.44",54.79722850100536,11.68937762,,,,
0,5.019049839128587,4.030673642173625,0.5499768997526652,0.3826536361668139,369,52.92410133750191,31.312196684142567,free,y/h,distr,e/h,"852.89, 736.36","4377.75, 457.08",80.49322813000742,11.83699728,,,,
0,5.148336219952603,2.0793184089265018,0.7912538563227329,0.3787759118517292,139,59.084273926387006,33.47826351524994,distr,y/u,foc,y/s,"354.9, 177.76","1003.85, 774.62",35.2395999126587,11.40492475,,,,
0,5.578058945406442,2.108533046770033,0.7851503607405315,0.3981057640809341,265,65.26544920030355,33.78881980490956,free,e/s,foc,e/u,"394.74, 767.75","1983.4, 299.33",52.31737077963098,11.83250579,,,,
0,5.2491828509159495,2.350588313927996,0.7440476839082352,0.3796011729260885,463,77.92948098164594,67.66423728906207,distr,y/s,foc,y/s,"339.38, 165.88","1972.2, 631.59",71.49293288462607,11.18433783,,,,
0,5.781076290250945,2.1117897131020498,0.6225585512155662,0.3928656437549362,316,44.61326903577292,95.45429036415696,foc,y/s,distr,e/s,"3899.4, 774.18","4010.89, 767.06",79.12424217754403,11.25363673,,,,
5,5.585297183164458,3.785655450221039,0.7211800609879611,0.3689234979199468,1,83.85532621879622,54.99838600604108,foc,y/s,distr,y/s,"2766.35, 194.56","2864.11, 197.4",53.00603320543072,11.51361026,,,,
0,5.125169855498577,2.3078530821956,0.7875482900034764,0.3948078627963448,112,65.46033114712498,33.3015073933467,foc,y/u,foc,e/s,"339.56, 166.71","1597.98, 306.47",72.21146665490876,11.3332773,,,,
0,5.002015335431762,3.5305380634610297,0.5200650630152394,0.2286179474983909,558,39.82708570166636,95.50532870421266,free,y/h,free,e/h,"3138.2, 228.91","1217.09, 746.95",77.75898661696152,12.25219469,,,,
0,5.061562208014897,2.134135170144822,0.5000118027698222,0.3498606184613567,564,33.53129751802084,44.89541390733122,distr,e/h,free,e/h,"2574.21, 202.37","3436.33, 223.66",35.62358313001065,11.70058615,,,,
0,7.47459149624316,2.9004623598730137,0.7976877517557057,0.219311787843876,1,46.56109369334277,94.2148086611658,free,e/s,foc,y/s,"2775.41, 236.2","2190.72, 647.18",81.55330641187027,11.13018774,,,,
0,7.319647199839714,4.398723300077559,0.6620919941788852,0.3909847498107971,241,55.85450512853993,75.56854709684399,free,y/u,free,e/h,"2250.17, 407.14","2381.88, 335.87",71.1785525323253,12.26701912,,,,
